id,produto,valor_unitario,quantidade
54,Ecolab - Hand Soap Form Antibac,30.88,73
55,Scallops - 10/20,40.65,2
56,Saskatoon Berries - Frozen,80.94,81
57,"Wine - White, Antinore Orvieto",85.25,38
58,Jameson Irish Whiskey,26.12,61
59,Pork - Backs - Boneless,79.13,91
60,Mushroom Morel Fresh,98.72,27
61,Rootbeer,43.22,61
62,Cranberries - Dry,43.82,82
63,Cheese - Marble,39.96,43
64,Red Pepper Paste,47.68,46
65,Wine - Taylors Reserve,86.14,72
66,"Apple - Delicious, Red",40.19,87
67,"Cake Circle, Paprus",69.17,47
68,Nori Sea Weed - Gold Label,83.08,100
69,Tomatoes Tear Drop Yellow,4.7,22
70,Wine - Casillero Deldiablo,37.68,71
71,Bread - Onion Focaccia,81.44,51
72,Compound - Strawberry,81.61,97
73,Salmon - Fillets,45.37,76
74,Soup V8 Roasted Red Pepper,42.91,65
75,Thyme - Fresh,47.18,30
76,Lettuce - Spring Mix,35.92,4
77,Flower - Potmums,65.77,30
78,"Soup - Knorr, Veg / Beef",77.14,75
79,Bread - Frozen Basket Variety,5.3,2
80,Steam Pan Full Lid,55.52,68
81,Sage - Rubbed,92.08,5
82,Sherry - Dry,45.87,78
83,Chicken Thigh - Bone Out,92.24,51
84,Squash - Guords,96.97,87
85,Oil - Sesame,15.13,27
86,Dasheen,86.93,73
87,"Pork - Loin, Boneless",82.49,26
88,Lamb Leg - Bone - In Nz,98.22,11
89,"Chilli Paste, Hot Sambal Oelek",3.48,66
90,Chef Hat 20cm,73.35,36
91,Butter - Pod,83.39,7
92,Mushroom - Portebello,21.72,48
93,Beer - Moosehead,85.73,42
94,Relish,80.53,53
95,Island Oasis - Wildberry,3.52,29
96,Bread - Kimel Stick Poly,3.45,58
97,Flower - Commercial Spider,37.3,78
98,Sour Puss - Tangerine,26.75,11
99,"Pasta - Penne, Rigate, Dry",45.26,35
100,"Melon - Watermelon, Seedless",32.47,4
101,Sauce - Cranberry,90.73,71
102,Salmon Steak - Cohoe 8 Oz,43.65,21
103,Sea Bass - Whole,53.67,28
104,Bread - Sour Sticks With Onion,38.3,7
105,"Pork - Bacon,back Peameal",61.33,93
106,Wine - Wyndham Estate Bin 777,89.78,98
107,Zucchini - Yellow,66.84,90
108,Crawfish,94.37,16
109,Mushroom - Lg - Cello,89.35,69
110,"Pasta - Fusili, Dry",82.1,5
111,Chick Peas - Dried,55.62,54
112,Chips - Miss Vickies,28.76,98
113,Pasta - Ravioli,20.06,71
114,Island Oasis - Mango Daiquiri,53.16,20
115,Figs,8.97,28
116,Ezy Change Mophandle,18.52,60
117,"Wine - White, Ej Gallo",15.76,82
118,Flour - Teff,76.93,33
119,Capers - Ox Eye Daisy,12.29,82
120,Ecolab - Balanced Fusion,59.55,32
121,Lentils - Green Le Puy,60.71,55
122,Pop - Club Soda Can,6.4,41
123,Almonds Ground Blanched,39.04,73
124,Flower - Dish Garden,84.27,97
125,Vaccum Bag - 14x20,49.98,97
126,Veal - Liver,46.2,86
127,Onions - White,53.01,51
128,"Cheese - Brie,danish",50.92,16
129,Cheese - Le Cheve Noir,80.22,3
130,Pepper Squash,32.12,97
131,"Cheese - Manchego, Spanish",55.19,84
132,"Wine - Red, Wolf Blass, Yellow",83.99,82
133,Rambutan,95.78,31
134,"Salmon - Atlantic, Fresh, Whole",77.59,10
135,Oil - Olive,38.34,47
136,Water - San Pellegrino,44.11,71
137,Capers - Pickled,58.11,22
138,Crackers - Melba Toast,30.47,20
139,Graham Cracker Mix,98.03,36
140,Rice - Wild,15.42,98
141,"Squash - Pattypan, Yellow",20.45,47
142,Clams - Bay,10.13,80
143,Beer - Camerons Cream Ale,69.94,98
144,"Pasta - Detalini, White, Fresh",43.72,7
145,Lamb - Rack,75.11,41
146,Wine - Magnotta - Cab Sauv,10.98,79
147,Momiji Oroshi Chili Sauce,13.49,90
148,Plastic Arrow Stir Stick,75.23,38
149,Tea Peppermint,1.45,38
150,Blueberries - Frozen,36.57,35
151,"Pork - Tenderloin, Frozen",58.54,52
152,Bacardi Raspberry,2.6,20
153,"Bread - Roll, Whole Wheat",69.28,50
154,Swiss Chard - Red,61.89,38
155,Raisin - Dark,63.47,5
156,Pie Shells 10,19.34,77
157,Eggwhite Frozen,99.91,91
158,"Juice - Apple, 500 Ml",53.72,24
159,Trueblue - Blueberry Cranberry,26.59,28
160,Eel Fresh,20.18,34
161,"Lobster - Baby, Boiled",90.04,54
162,Pepper - Green Thai,54.25,58
163,Quiche Assorted,1.37,90
164,"Wine - Mas Chicet Rose, Vintage",65.11,16
165,Creme De Menthe Green,54.31,84
166,"Crab - Claws, 26 - 30",19.2,89
167,Curry Paste - Green Masala,11.93,65
168,Soup - Campbells Broccoli,49.76,47
169,Pork - Liver,82.22,98
170,Beans - Green,70.73,36
171,"Oranges - Navel, 72",70.52,74
172,Pasta - Canelloni,13.04,50
173,Gatorade - Cool Blue Raspberry,79.74,83
174,Puree - Blackcurrant,82.83,46
175,Cabbage - Nappa,27.01,97
176,Muskox - French Rack,63.24,52
177,Nantucket Pine Orangebanana,28.61,90
178,Pork - Back Ribs,76.06,54
179,Dc - Sakura Fu,33.87,57
180,Savory,5.36,76
181,Bread - Rosemary Focaccia,41.61,3
182,Wasabi Paste,29.43,52
183,Garam Masala Powder,46.21,20
184,Soup - Campbells Chicken,1.67,70
185,Sauce - Salsa,55.98,74
186,Pie Shell - 5,16.71,16
187,"Rum - Cream, Amarula",75.43,28
188,Gherkin,53.59,66
189,Wine - Gato Negro Cabernet,61.01,4
190,"Chocolate - Semi Sweet, Calets",78.29,58
191,Tuna - Salad Premix,95.6,23
192,"Soup - Beef Conomme, Dry",29.8,70
193,Venison - Liver,40.45,69
194,Pepper - Chili Powder,39.01,87
195,Parsley - Dried,64.11,57
196,Cleaner - Comet,39.5,10
197,The Pop Shoppe - Cream Soda,48.77,41
198,Pie Filling - Cherry,55.67,68
199,Cheese - Perron Cheddar,40.86,97
200,Potatoes - Mini Red,12.94,50
201,Beef - Cow Feet Split,90.63,41
202,Rambutan,78.3,44
203,Teriyaki Sauce,43.94,58
204,Banana,64.67,73
205,Rice - Wild,25.81,3
206,"Artichoke - Bottom, Canned",63.55,62
207,Crab Meat Claw Pasteurise,84.67,77
208,Egg Patty Fried,58.21,58
209,"Pepper - White, Ground",87.22,49
210,Foil - Round Foil,8.78,53
211,Chocolate - Milk Coating,98.73,65
212,"Split Peas - Yellow, Dry",62.95,54
213,Molasses - Fancy,19.65,66
214,"Tabasco Sauce, 2 Oz",93.06,66
215,Mussels - Frozen,42.82,6
216,Shrimp - 100 / 200 Cold Water,22.13,1
217,Mousse - Passion Fruit,12.58,77
218,Wine - Casablanca Valley,52.76,52
219,"Doilies - 5, Paper",86.32,26
220,Red Currant Jelly,51.72,22
221,Chocolate - Dark,38.1,75
222,Chicken - Ground,43.69,20
223,"Pasta - Gnocchi, Potato",64.18,56
224,Muffin Mix - Morning Glory,42.7,18
225,Mustard - Pommery,41.81,11
226,Haggis,35.22,44
227,Anisette - Mcguiness,76.94,40
228,Guinea Fowl,50.9,58
229,"Pasta - Fett Alfredo, Single Serve",7.4,73
230,Juice - Orangina,53.09,46
231,Cake - Pancake,62.66,77
232,Waffle Stix,72.75,87
233,Mushroom - White Button,51.14,44
234,Cocoa Feuilletine,19.04,49
235,Cleaner - Bleach,83.06,97
236,"Ranchero - Primerba, Paste",70.27,56
237,Pepper - Jalapeno,13.07,50
238,Curry Powder Madras,39.25,52
239,"Pasta - Fusili, Dry",90.69,35
240,Tobasco Sauce,37.46,16
241,Cheese Cloth No 100,71.68,15
242,Chips Potato Reg 43g,32.25,20
243,Triple Sec - Mcguinness,37.2,16
244,"Chicken - Leg, Fresh",11.62,33
245,Cheese - Asiago,93.9,69
246,Water - Perrier,30.19,88
247,Salmon Steak - Cohoe 8 Oz,31.73,20
248,"Rum - White, Gg White",47.37,80
249,"Rum - White, Gg White",28.35,97
250,"Mushroom - Trumpet, Dry",23.49,87
251,Bols Melon Liqueur,26.78,54
252,"Soup - Campbells, Minestrone",98.26,68
253,Contreau,56.98,40
254,Creme De Menthe Green,54.42,30
255,"Soup - Canadian Pea, Dry Mix",45.93,9
256,Pork Casing,25.9,37
257,Wine - Gewurztraminer Pierre,96.85,4
258,Ham - Virginia,93.57,31
259,Plate Pie Foil,73.42,6
260,Steampan - Foil,19.09,43
261,Appetizer - Shrimp Puff,72.25,82
262,Sauce - Hollandaise,28.06,74
263,"Napkin - Dinner, White",95.82,47
264,Broom Handle,3.57,49
265,"Juice - Grape, White",74.33,39
266,Container - Foam Dixie 12 Oz,13.05,89
267,Sprouts - Brussel,76.69,85
268,Pasta - Ravioli,19.04,82
269,Rabbit - Saddles,24.79,48
270,Soup - Base Broth Beef,13.05,22
271,Oyster - In Shell,56.55,19
272,Garlic - Peeled,6.34,24
273,Beans - Wax,48.8,3
274,Cheese - Parmesan Grated,20.94,60
275,Flavouring - Orange,62.1,57
276,Compound - Raspberry,15.88,26
277,Olives - Kalamata,1.46,2
278,Cheese - Gorgonzola,34.18,40
279,Sugar - Cubes,13.2,29
280,Godiva White Chocolate,82.13,94
281,"Crab - Dungeness, Whole",28.02,61
282,Broom - Angled,53.89,4
283,Melon - Honey Dew,54.8,9
284,Chips - Potato Jalapeno,3.07,93
285,Pork - Smoked Back Bacon,85.79,57
286,Muffin Carrot - Individual,95.57,61
287,Beef Wellington,50.11,91
288,Wine - Merlot Vina Carmen,65.52,27
289,"Tart Shells - Barquettes, Savory",76.32,28
290,Beer - Maudite,52.45,89
291,Coffee Caramel Biscotti,35.62,37
292,"Star Anise, Whole",73.58,96
293,Avocado,85.3,51
294,Tart - Pecan Butter Squares,97.31,89
295,"Syrup - Monin, Swiss Choclate",62.42,35
296,Oil - Coconut,17.3,35
297,Mace,84.61,27
298,Contreau,1.99,80
299,Red Currants,63.52,66
300,Scallops - 20/30,97.65,68
301,Piping - Bags Quizna,52.5,57
302,Flavouring - Orange,29.09,96
303,Rabbit - Whole,21.7,15
304,Goulash Seasoning,55.63,24
305,Oil - Coconut,70.89,27
306,"Sparkling Wine - Rose, Freixenet",71.1,75
307,Cheese - Ermite Bleu,85.67,7
308,"Beef - Ox Tongue, Pickled",55.24,34
309,"Juice - Pineapple, 48 Oz",21.16,60
310,Sugar Thermometer,4.27,28
311,Flour - Whole Wheat,46.2,64
312,Corn Syrup,23.57,4
313,Melon - Honey Dew,61.79,6
314,Instant Coffee,76.96,28
315,"Wine - Red, Pinot Noir, Chateau",7.64,28
316,Puff Pastry - Sheets,65.51,43
317,Cod - Fillets,19.07,36
318,"Gingerale - Schweppes, 355 Ml",75.88,53
319,Sauce Bbq Smokey,3.6,12
320,Sour Puss - Tangerine,52.74,69
321,"Juice - Orange, Concentrate",75.41,67
322,Sole - Iqf,34.94,45
323,Tea - Lemon Scented,79.24,56
324,Assorted Desserts,16.59,31
325,Sour Cream,12.24,40
326,Muffin Batt - Choc Chk,94.49,70
327,Chocolate - Liqueur Cups With Foil,31.77,9
328,Shortbread - Cookie Crumbs,16.65,69
329,"Crab - Claws, 26 - 30",79.76,8
330,Hot Choc Vending,2.32,89
331,Salt And Pepper Mix - Black,15.66,32
332,"Pork - Loin, Boneless",43.37,54
333,Wine - Champagne Brut Veuve,64.93,26
334,Tuna - Sushi Grade,68.1,79
335,V8 - Vegetable Cocktail,69.55,40
336,Red Pepper Paste,17.45,37
337,Taro Root,38.18,52
338,Broom And Brush Rack Black,64.59,11
339,"Veal - Shank, Pieces",92.37,46
340,"Beef - Roasted, Cooked",17.15,22
341,"Noodles - Cellophane, Thin",5.92,36
342,Dry Ice,7.61,19
343,"Pepper - Julienne, Frozen",19.28,76
344,"Bread - Roll, Calabrese",44.83,97
345,Cake - French Pear Tart,39.46,5
346,Tamarind Paste,23.23,41
347,Rosemary - Fresh,58.42,42
348,Fudge - Cream Fudge,96.69,52
349,Vinegar - Raspberry,67.53,25
350,"Trout - Rainbow, Fresh",72.23,1
351,Chip - Potato Dill Pickle,30.42,39
352,Yogurt - Assorted Pack,86.32,99
353,Ecolab Crystal Fusion,37.91,15
354,Chickensplit Half,55.41,99
355,Jameson Irish Whiskey,78.05,72
356,Lamb Leg - Bone - In Nz,25.09,82
357,Beef - Diced,88.08,17
358,Raisin - Dark,24.54,21
359,Cheese - Pont Couvert,42.68,52
360,Juice - Ocean Spray Cranberry,12.73,2
361,Lettuce - Romaine,36.64,31
362,Ecolab - Medallion,10.26,45
363,Petite Baguette,30.15,25
364,Bread Crumbs - Panko,20.5,54
365,Wine - Sake,90.07,77
366,Puff Pastry - Sheets,80.48,34
367,Turnip - Mini,85.69,28
368,Onions - Spanish,92.66,80
369,"Chicken - White Meat, No Tender",82.48,16
370,"Wine - White, Riesling, Semi - Dry",16.66,27
371,Vinegar - White Wine,25.78,32
372,"Asparagus - Green, Fresh",24.89,43
373,Sauce - Hoisin,38.83,49
374,Bread Country Roll,86.63,49
375,Wine - Port Late Bottled Vintage,6.18,66
376,"Doilies - 7, Paper",22.17,26
377,Straws - Cocktale,75.69,15
378,Shark - Loin,94.93,79
379,Ice Cream Bar - Oreo Cone,67.32,25
380,Bulgar,75.03,9
381,Chicken - Whole,44.05,55
382,Butter - Pod,28.49,23
383,"Turkey - Breast, Double",39.13,73
384,"Wine - Red, Cooking",2.58,45
385,Bread - White Mini Epi,60.72,38
386,Lettuce - Boston Bib - Organic,42.27,13
387,Gatorade - Xfactor Berry,1.13,44
388,"Wine - Cahors Ac 2000, Clos",14.74,49
389,Cheese - Stilton,44.74,33
390,Cut Wakame - Hanawakaba,22.04,35
391,Oil - Sesame,6.87,96
392,Pastry - Key Limepoppy Seed Tea,67.51,63
393,Cup - Paper 10oz 92959,54.09,52
394,Longos - Assorted Sandwich,8.53,41
395,Tumeric,58.08,83
396,Chef Hat 25cm,85.0,54
397,Alize Sunset,76.66,23
398,Broom - Corn,55.42,61
399,Beer - Paulaner Hefeweisse,12.16,18
400,Buffalo - Striploin,55.47,72
401,Venison - Racks Frenched,1.45,18
402,Pasta - Fusili Tri - Coloured,38.73,74
403,Wine - Tribal Sauvignon,3.77,16
404,Bagel - Whole White Sesame,20.77,22
405,Radish - Pickled,43.37,52
406,Creamers - 10%,81.84,99
407,"Sauce - Bernaise, Mix",54.77,43
408,Chutney Sauce,69.82,96
409,Wine - Montecillo Rioja Crianza,60.49,1
410,Bread Base - Toscano,11.66,95
411,Flour - So Mix Cake White,12.58,21
412,Egg Patty Fried,78.97,72
413,Towel Multifold,71.28,7
414,Squid - U - 10 Thailand,97.15,59
415,Cheese - Cambozola,3.73,98
416,Longos - Assorted Sandwich,37.37,48
417,V8 - Tropical Blend,58.53,34
418,Cheese - Taleggio D.o.p.,75.73,36
419,Maple Syrup,12.57,76
420,"Syrup - Monin, Irish Cream",71.18,96
421,Soup Campbells - Italian Wedding,3.58,11
422,Macaroons - Homestyle Two Bit,89.07,1
423,Pork Loin Cutlets,40.28,5
424,Ice Cream - Super Sandwich,89.7,79
425,Pepper - Roasted Red,89.96,36
426,Cafe Royale,86.95,72
427,Sauce - Hp,87.82,25
428,Hand Towel,96.88,77
429,Schnappes Peppermint - Walker,77.95,63
430,Dr. Pepper - 355ml,85.12,52
431,Yogurt - Plain,66.35,86
432,Sour Puss - Tangerine,10.95,35
433,"Salmon - Atlantic, Skin On",4.21,69
434,Longos - Chicken Curried,27.04,97
435,Bandage - Fexible 1x3,95.77,13
436,Lettuce - Lolla Rosa,77.79,93
437,"Beef - Ox Tongue, Pickled",43.94,73
438,"Rum - Cream, Amarula",98.96,40
439,"Tart Shells - Sweet, 4",94.03,74
440,Oysters - Smoked,76.48,98
441,Muffin Mix - Chocolate Chip,93.29,95
442,Versatainer Nc - 888,80.41,68
443,"Tart Shells - Sweet, 3",80.92,97
444,Cup - Translucent 7 Oz Clear,54.14,45
445,Wine - Cotes Du Rhone,32.32,80
446,Magnotta - Bel Paese White,95.18,65
447,Blackberries,14.12,9
448,"Lemonade - Kiwi, 591 Ml",36.06,24
449,Oyster - In Shell,18.7,99
450,"Wine - Red, Colio Cabernet",44.22,2
451,Jerusalem Artichoke,43.79,30
452,"Sauce - Soya, Light",48.41,8
453,Pectin,80.48,42
454,Pork Ham Prager,30.4,67
455,Tea - Herbal I Love Lemon,23.68,92
456,Sprouts - Peppercress,23.56,14
457,Bread - Pain Au Liat X12,48.83,24
458,"Cheese - Brie, Triple Creme",58.44,15
459,Table Cloth 62x114 White,9.47,49
460,Cheese - Asiago,93.63,67
461,Bonito Flakes - Toku Katsuo,77.48,86
462,"Soup - Campbells, Creamy",87.54,85
463,Tomato - Tricolor Cherry,91.66,47
464,"Lentils - Red, Dry",86.69,19
465,Soup - Campbells Tomato Ravioli,89.54,7
466,Beer - Mill St Organic,61.1,32
467,"Coke - Classic, 355 Ml",77.56,78
468,"Pasta - Gnocchi, Potato",21.38,42
469,"Mushroom - Porcini, Dry",17.66,85
470,Pastry - Cherry Danish - Mini,5.97,86
471,Coffee Caramel Biscotti,4.53,25
472,Muffin Batt - Choc Chk,92.94,74
473,Oven Mitts 17 Inch,41.14,22
474,Beef - Top Butt Aaa,53.57,53
475,"Capon - Breast, Wing On",37.6,60
476,Ecolab - Mikroklene 4/4 L,75.6,51
477,Sauce - Plum,4.2,71
478,Wine - Barolo Fontanafredda,94.66,95
479,Cake - Pancake,51.61,12
480,Shrimp - Tiger 21/25,99.21,63
481,"Pasta - Orzo, Dry",77.36,94
482,Sauce Tomato Pouch,2.22,54
483,Melon - Watermelon Yellow,25.03,41
484,Cabbage - Nappa,25.1,92
485,"Pasta - Spaghetti, Dry",31.66,69
486,Whmis - Spray Bottle Trigger,60.55,26
487,Russian Prince,65.15,99
488,"Beans - Black Bean, Dry",19.56,74
489,Sandwich Wrap,68.34,35
490,Pepper - Red Thai,2.49,75
491,Garbage Bags - Black,29.46,78
492,Potatoes - Pei 10 Oz,66.23,60
493,Ecolab - Lime - A - Way 4/4 L,68.56,43
494,Soupcontfoam16oz 116con,33.17,60
495,Pear - Packum,57.28,26
496,Cheese - Stilton,29.69,84
497,Cookie - Oreo 100x2,12.03,4
498,Hagen Daza - Dk Choocolate,31.28,53
499,Ecolab - Solid Fusion,79.02,77
500,Sobe - Berry Energy,75.51,6
501,Flour - Whole Wheat,46.58,38
502,Beans - Fine,58.54,65
503,Appetizer - Veg Assortment,92.0,2
504,Truffle Paste,6.17,56
505,Mahi Mahi,67.92,84
506,Wine - Ruffino Chianti,65.51,66
507,Bread - 10 Grain,46.34,90
508,Tilapia - Fillets,94.64,48
509,Wine - Chablis J Moreau Et Fils,53.36,93
510,Icecream Cone - Areo Chocolate,57.76,95
511,Oysters - Smoked,17.34,100
512,"Bread - Roll, Soft White Round",13.99,70
513,Wine - Chablis 2003 Champs,52.98,48
514,Cookie Dough - Oatmeal Rasin,49.84,55
515,"Tarragon - Primerba, Paste",96.64,3
516,"Beef - Rib Roast, Capless",85.41,19
517,"Wine - Red, Cabernet Sauvignon",72.07,27
518,Pork - Bacon Cooked Slcd,35.23,8
519,Bread Country Roll,88.92,84
520,"Pasta - Fettuccine, Dry",94.09,50
521,Wine - Chablis J Moreau Et Fils,25.32,15
522,Lettuce - Frisee,12.83,77
523,Wine - Redchard Merritt,69.66,75
524,Glycerine,93.5,23
525,Ham - Cooked,19.0,48
526,Compound - Pear,11.69,75
527,"Lamb - Racks, Frenched",30.52,28
528,Mix Pina Colada,49.29,27
529,Clam Nectar,63.09,86
530,Scallops - U - 10,77.61,33
531,Water - Aquafina Vitamin,90.07,90
532,Dooleys Toffee,66.16,1
533,Soup - Campbells - Chicken Noodle,23.98,6
534,Lotus Leaves,10.4,99
535,"Lamb - Racks, Frenched",64.79,22
536,Wine - Puligny Montrachet A.,32.83,32
537,Oil - Shortening - All - Purpose,92.44,80
538,Tomatoes - Orange,16.76,100
539,Bandage - Fexible 1x3,14.68,6
540,Muffin Mix - Lemon Cranberry,32.76,27
541,Star Fruit,24.58,76
542,Island Oasis - Mango Daiquiri,81.22,39
543,"Chocolate - Pistoles, White",66.94,99
544,"Wine - Red, Gallo, Merlot",84.26,1
545,Muffin Chocolate Individual Wrap,70.19,36
546,Amarula Cream,64.01,21
547,Chocolate - Semi Sweet,12.19,67
548,Pepper - Jalapeno,92.04,70
549,The Pop Shoppe - Grape,88.42,84
550,Pepper - Chilli Seeds Mild,64.71,35
551,Juice - Happy Planet,1.91,42
552,Cabbage - Green,4.4,13
553,Crab - Imitation Flakes,31.67,56
554,Rabbit - Whole,46.52,95
555,Tea - Decaf Lipton,19.86,14
556,Towel Dispenser,32.18,88
557,Aromat Spice / Seasoning,21.96,84
558,Onions - Green,43.07,87
559,Cream - 10%,2.1,89
560,Isomalt,7.71,86
561,Coffee - French Vanilla Frothy,62.4,57
562,"Wine - Mas Chicet Rose, Vintage",80.72,3
563,Sausage - Andouille,37.89,66
564,Pie Filling - Apple,32.04,86
565,Sugar - Crumb,79.18,31
566,Compound - Mocha,95.06,99
567,Creme De Cacao White,2.9,25
568,Coconut Milk - Unsweetened,74.18,1
569,Chicken - White Meat With Tender,20.57,55
570,Chick Peas - Dried,32.93,19
571,Parsnip,96.65,38
572,Miso Paste White,6.84,45
573,Chivas Regal - 12 Year Old,10.23,40
574,Lemon Balm - Fresh,16.05,64
575,Chicken - White Meat With Tender,91.34,2
576,Cheese - Ricotta,16.74,43
577,Ecolab - Lime - A - Way 4/4 L,77.45,92
578,Muffin Mix - Lemon Cranberry,23.8,53
579,Ham Black Forest,36.79,50
580,Bread - Multigrain Oval,94.6,8
581,Cake - Sheet Strawberry,41.52,54
582,Creme De Cacao Mcguines,92.69,48
583,Relish,12.65,50
584,Nutmeg - Ground,2.36,100
585,Calypso - Strawberry Lemonade,10.59,72
586,Shortbread - Cookie Crumbs,32.86,40
587,Initation Crab Meat,36.41,94
588,Oil - Grapeseed Oil,42.52,63
589,"Wine - White, Pelee Island",96.72,26
590,Pails With Lids,43.76,64
591,"Tendrils - Baby Pea, Organic",94.95,83
592,Truffle Shells - Semi - Sweet,69.21,57
593,"Pail - 15l White, With Handle",64.95,25
594,Table Cloth 54x54 White,53.87,98
595,Icecream - Dibs,27.78,40
596,Spring Roll Wrappers,48.3,79
597,Wine - Delicato Merlot,61.2,34
598,Tea - Herbal Orange Spice,71.38,5
599,Kahlua,93.98,87
600,"Tarragon - Primerba, Paste",4.85,8
601,Cookie Dough - Oatmeal Rasin,75.62,59
602,Sauce - Cranberry,29.15,40
603,Latex Rubber Gloves Size 9,32.89,22
604,Ecolab - Hobart Upr Prewash Arm,27.22,52
605,"Mop Head - Cotton, 24 Oz",98.26,76
606,Compound - Orange,59.44,45
607,"Tomatoes - Plum, Canned",4.55,99
608,Yogurt - Assorted Pack,47.05,17
609,Tobasco Sauce,29.81,37
610,Baking Soda,81.34,72
611,Wine - Sogrape Mateus Rose,71.32,66
612,Bread - 10 Grain,59.04,55
613,Nori Sea Weed,10.21,48
614,Water - Spring Water 500ml,87.11,47
615,Pastry - Lemon Danish - Mini,29.88,15
616,Aspic - Amber,30.41,74
617,Sprouts - Alfalfa,9.48,39
618,Veal - Knuckle,91.3,35
619,Coffee Cup 8oz 5338cd,25.01,69
620,Energy Drink - Franks Pineapple,29.31,9
621,Cut Wakame - Hanawakaba,18.3,25
622,Cranberry Foccacia,70.32,49
623,Shiro Miso,53.8,74
624,Soho Lychee Liqueur,53.93,34
625,Oil - Grapeseed Oil,17.88,53
626,"Vermouth - White, Cinzano",74.68,88
627,Chocolate - Dark,54.58,56
628,Spice - Onion Powder Granulated,16.78,94
629,"Cup - 3.5oz, Foam",52.75,77
630,"Wine - Red, Mouton Cadet",87.16,45
631,Island Oasis - Ice Cream Mix,65.55,70
632,"Wine - Red, Metus Rose",99.98,89
633,Radish,66.56,50
634,Appetizer - Shrimp Puff,17.82,43
635,Tarts Assorted,55.9,53
636,Flour - All Purpose,20.05,14
637,Pork - Suckling Pig,16.47,46
638,"Beef - Bones, Cut - Up",81.02,40
639,Sobe - Berry Energy,33.77,96
640,Sorrel - Fresh,10.45,85
641,Spice - Montreal Steak Spice,60.99,32
642,Bar - Sweet And Salty Chocolate,5.55,26
643,Beer - Moosehead,80.24,47
644,Ginger - Pickled,20.61,5
645,Kirsch - Schloss,58.03,9
646,Oil - Cooking Spray,7.91,7
647,"Tarragon - Primerba, Paste",39.75,94
648,Relish,37.84,14
649,Wine - Masi Valpolocell,23.91,13
650,Spice - Onion Powder Granulated,26.86,9
651,Cod - Fillets,21.99,12
652,Piping Jelly - All Colours,1.61,81
653,Veal - Nuckle,39.51,81
654,Swiss Chard,61.84,66
655,Mahi Mahi,34.99,94
656,Dehydrated Kelp Kombo,79.45,9
657,Pie Filling - Cherry,20.3,36
658,Oil - Pumpkinseed,54.79,21
659,"Yogurt - Cherry, 175 Gr",44.71,53
660,Wine - Marlbourough Sauv Blanc,37.98,6
661,Onions Granulated,67.44,29
662,"Wine - Red, Cooking",34.98,96
663,Wine - Chianti Classica Docg,44.83,46
664,"Tabasco Sauce, 2 Oz",84.28,2
665,"Turkey - Whole, Fresh",77.83,49
666,Beef - Flank Steak,50.2,76
667,Island Oasis - Cappucino Mix,16.39,62
668,Papayas,82.03,13
669,Flour - Rye,56.43,21
670,"Soup - Campbells, Minestrone",11.96,61
671,Sping Loaded Cup Dispenser,42.4,80
672,Barramundi,10.38,71
673,Appetizer - Sausage Rolls,45.57,1
674,"Wine - White, Pelee Island",77.43,47
